Source;Target;Id;linkname
0;316;0;0->316
0;625;1;0->625
0;2312;2;0->2312
0;4153;3;0->4153
0;6158;4;0->6158
0;6371;5;0->6371
0;6397;6;0->6397
0;7761;7;0->7761
1;2;8;1->2
1;4786;9;1->4786
1;7569;10;1->7569
1;7833;11;1->7833
1;8359;12;1->8359
2;1;13;2->1
2;18;14;2->18
2;30;15;2->30
2;143;16;2->143
2;2328;17;2->2328
2;3265;18;2->3265
2;3413;19;2->3413
2;3600;20;2->3600
2;3623;21;2->3623
2;3745;22;2->3745
2;3785;23;2->3785
2;4914;24;2->4914
2;5077;25;2->5077
2;5488;26;2->5488
2;5730;27;2->5730
2;5869;28;2->5869
2;6491;29;2->6491
2;6510;30;2->6510
2;7134;31;2->7134
2;7136;32;2->7136
2;7548;33;2->7548
2;7717;34;2->7717
2;8031;35;2->8031
2;8145;36;2->8145
2;8721;37;2->8721
2;9583;38;2->9583
2;9675;39;2->9675
2;9989;40;2->9989
2;10784;41;2->10784
3;1026;42;3->1026
3;1040;43;3->1040
3;1085;44;3->1085
3;1102;45;3->1102
3;9314;46;3->9314
3;10684;47;3->10684
4;743;48;4->743
4;781;49;4->781
4;1424;50;4->1424
4;2142;51;4->2142
4;2424;52;4->2424
4;3182;53;4->3182
4;3269;54;4->3269
4;3531;55;4->3531
4;3794;56;4->3794
4;4144;57;4->4144
4;4164;58;4->4164
4;4192;59;4->4192
4;4753;60;4->4753
4;5234;61;4->5234
4;5811;62;4->5811
4;5815;63;4->5815
4;6345;64;4->6345
4;6599;65;4->6599
4;6676;66;4->6676
4;6678;67;4->6678
4;6682;68;4->6682
4;7617;69;4->7617
4;7801;70;4->7801
4;8012;71;4->8012
4;8246;72;4->8246
4;8297;73;4->8297
4;8436;74;4->8436
5;1020;75;5->1020
5;3901;76;5->3901
5;4063;77;5->4063
5;4659;78;5->4659
5;6314;79;5->6314
5;6330;80;5->6330
5;7212;81;5->7212
5;7233;82;5->7233
5;7259;83;5->7259
5;7312;84;5->7312
5;10933;85;5->10933
5;10990;86;5->10990
6;14;87;6->14
6;23;88;6->23
6;182;89;6->182
6;631;90;6->631
6;778;91;6->778
6;813;92;6->813
6;1178;93;6->1178
6;1185;94;6->1185
6;1823;95;6->1823
6;2918;96;6->2918
6;3139;97;6->3139
6;3157;98;6->3157
6;3268;99;6->3268
6;3947;100;6->3947
6;3983;101;6->3983
6;4144;102;6->4144
6;4238;103;6->4238
6;4263;104;6->4263
6;4291;105;6->4291
6;4672;106;6->4672
6;4674;107;6->4674
6;4700;108;6->4700
6;5003;109;6->5003
6;5256;110;6->5256
6;5287;111;6->5287
6;5298;112;6->5298
6;5303;113;6->5303
6;5335;114;6->5335
6;5339;115;6->5339
6;6350;116;6->6350
6;6359;117;6->6359
6;6379;118;6->6379
6;6620;119;6->6620
6;7935;120;6->7935
6;8874;121;6->8874
7;969;122;7->969
7;970;123;7->970
7;972;124;7->972
7;2162;125;7->2162
8;266;126;8->266
8;359;127;8->359
8;1016;128;8->1016
8;1037;129;8->1037
8;1040;130;8->1040
8;2295;131;8->2295
8;7120;132;8->7120
8;9197;133;8->9197
8;9212;134;8->9212
8;9252;135;8->9252
8;9285;136;8->9285
8;9287;137;8->9287
8;9542;138;8->9542
8;9551;139;8->9551
8;9790;140;8->9790
8;9965;141;8->9965
8;10127;142;8->10127
8;10519;143;8->10519
8;10741;144;8->10741
8;10787;145;8->10787
9;661;146;9->661
9;755;147;9->755
9;1733;148;9->1733
9;2784;149;9->2784
9;3935;150;9->3935
9;4753;151;9->4753
9;4763;152;9->4763
9;5811;153;9->5811
9;5824;154;9->5824
9;5828;155;9->5828
9;6373;156;9->6373
9;7913;157;9->7913
9;8107;158;9->8107
9;8248;159;9->8248
9;8297;160;9->8297
9;8545;161;9->8545
10;2;162;10->2
10;32;163;10->32
10;3265;164;10->3265
10;3600;165;10->3600
10;5564;166;10->5564
10;5566;167;10->5566
10;7140;168;10->7140
11;16;169;11->16
11;1327;170;11->1327
12;22;171;12->22
12;2086;172;12->2086
12;4757;173;12->4757
12;6340;174;12->6340
13;1040;175;13->1040
13;1077;176;13->1077
13;2273;177;13->2273
13;7957;178;13->7957
13;9754;179;13->9754
13;9774;180;13->9774
13;10122;181;13->10122
14;633;182;14->633
14;1140;183;14->1140
14;1233;184;14->1233
14;1598;185;14->1598
14;3519;186;14->3519
14;6258;187;14->6258
14;6380;188;14->6380
14;6398;189;14->6398
14;6402;190;14->6402
14;6715;191;14->6715
14;8368;192;14->8368
14;8510;193;14->8510
14;9169;194;14->9169
15;152;195;15->152
15;698;196;15->698
15;4192;197;15->4192
15;4261;198;15->4261
15;4396;199;15->4396
15;4735;200;15->4735
15;6761;201;15->6761
15;8549;202;15->8549
16;11;203;16->11
16;538;204;16->538
16;1056;205;16->1056
16;1327;206;16->1327
16;1328;207;16->1328
16;1737;208;16->1737
16;2086;209;16->2086
16;3236;210;16->3236
16;4450;211;16->4450
16;5393;212;16->5393
16;5414;213;16->5414
16;5730;214;16->5730
16;6292;215;16->6292
16;6505;216;16->6505
16;7383;217;16->7383
16;7384;218;16->7384
16;7833;219;16->7833
16;8721;220;16->8721
16;9071;221;16->9071
16;9394;222;16->9394
16;9485;223;16->9485
16;9739;224;16->9739
16;9818;225;16->9818
16;9870;226;16->9870
17;795;227;17->795
17;7277;228;17->7277
17;7284;229;17->7284
18;1;230;18->1
18;5201;231;18->5201
18;5575;232;18->5575
19;858;233;19->858
19;2362;234;19->2362
19;3829;235;19->3829
19;7818;236;19->7818
19;7824;237;19->7824
19;8129;238;19->8129
19;8254;239;19->8254
19;8507;240;19->8507
19;10009;241;19->10009
21;512;242;21->512
21;7264;243;21->7264
21;7312;244;21->7312
21;11040;245;21->11040
21;11207;246;21->11207
22;12;247;22->12
22;93;248;22->93
22;826;249;22->826
22;1127;250;22->1127
22;1197;251;22->1197
22;1526;252;22->1526
22;2086;253;22->2086
22;2234;254;22->2234
22;2380;255;22->2380
22;3236;256;22->3236
22;5730;257;22->5730
22;7142;258;22->7142
22;9484;259;22->9484
23;6;260;23->6
23;781;261;23->781
23;844;262;23->844
23;2480;263;23->2480
24;630;264;24->630
24;1233;265;24->1233
24;6403;266;24->6403
24;7336;267;24->7336
24;10468;268;24->10468
25;1737;269;25->1737
25;2086;270;25->2086
25;2234;271;25->2234
25;3236;272;25->3236
27;3255;273;27->3255
27;3920;274;27->3920
27;5178;275;27->5178
27;7183;276;27->7183
27;7191;277;27->7191
27;7255;278;27->7255
27;10024;279;27->10024
27;11011;280;27->11011
28;15;281;28->15
28;688;282;28->688
28;4672;283;28->4672
28;5255;284;28->5255
28;7436;285;28->7436
29;1670;286;29->1670
29;2229;287;29->2229
29;2424;288;29->2424
30;2;289;30->2
30;31;290;30->31
31;2;291;31->2
32;10;292;32->10
32;3679;293;32->3679
32;6505;294;32->6505
33;43;295;33->43
33;7761;296;33->7761
33;10024;297;33->10024
34;42;298;34->42
34;45;299;34->45
34;51;300;34->51
34;52;301;34->52
34;104;302;34->104
34;1056;303;34->1056
34;2086;304;34->2086
34;2467;305;34->2467
34;3385;306;34->3385
34;3716;307;34->3716
34;6138;308;34->6138
34;6332;309;34->6332
34;11289;310;34->11289
34;11310;311;34->11310
35;461;312;35->461
35;6698;313;35->6698
36;45;314;36->45
36;51;315;36->51
36;4923;316;36->4923
36;6331;317;36->6331
36;6332;318;36->6332
37;3278;319;37->3278
37;10840;320;37->10840
37;10903;321;37->10903
37;10912;322;37->10912
37;11104;323;37->11104
38;1477;324;38->1477
38;1482;325;38->1482
38;1488;326;38->1488
38;2275;327;38->2275
38;2472;328;38->2472
38;2649;329;38->2649
38;3211;330;38->3211
38;3278;331;38->3278
38;3288;332;38->3288
38;3343;333;38->3343
38;3344;334;38->3344
38;3356;335;38->3356
38;3699;336;38->3699
38;3702;337;38->3702
38;3703;338;38->3703
38;3706;339;38->3706
38;3732;340;38->3732
38;3783;341;38->3783
38;3829;342;38->3829
38;3899;343;38->3899
38;4209;344;38->4209
38;4484;345;38->4484
38;4662;346;38->4662
38;4996;347;38->4996
38;5205;348;38->5205
38;6331;349;38->6331
38;7184;350;38->7184
38;7223;351;38->7223
38;7225;352;38->7225
38;7251;353;38->7251
38;7334;354;38->7334
38;7345;355;38->7345
38;8870;356;38->8870
38;10828;357;38->10828
38;10831;358;38->10831
38;10869;359;38->10869
38;10892;360;38->10892
38;10953;361;38->10953
38;10960;362;38->10960
39;46;363;39->46
39;3574;364;39->3574
39;3747;365;39->3747
39;4529;366;39->4529
39;6583;367;39->6583
39;7176;368;39->7176
39;7274;369;39->7274
39;10835;370;39->10835
40;43;371;40->43
40;3663;372;40->3663
40;3721;373;40->3721
40;3735;374;40->3735
40;11288;375;40->11288
41;1460;376;41->1460
41;4153;377;41->4153
41;4626;378;41->4626
41;5023;379;41->5023
41;5612;380;41->5612
41;5631;381;41->5631
41;7725;382;41->7725
42;35;383;42->35
